layer,top_tokens,bottom_tokens,max_cos,min_cos,top_ctx_examples
0,万千×3 | 小店×3 | 烟火×2 | .innerHeight×2 | 店主×2 | .innerWidth×2 | Vaugh×2 | �×2 | impover×1 | cheesy×1 | aftermath×1 | çevir×1 | .setSize×1 | .Scene×1 | tür×1,.×35 | the×5,0.0857,-0.2208,"「有一手」守护一方⟪烟火⟫的小店店主。\n万千小店 ||| 牌，想从这一手⟪烟火⟫气中觅得一手侠 ||| 5, window.innerWidth / window⟪.innerHeight⟫, 0.1, ||| 	renderer.setSize(window.innerWidth, window⟪.innerHeight⟫);\n				document.body.appendChild(renderer |||  elsewhere. Limited job prospects,⟪ impover⟫ishment, malnutrition, and"
1,ه×4 | adhere×4 | 之×2 | 者×2 | �×1 | 来的×1 | .appendChild×1 | 得×1 | 劳动×1 | 豪×1 | ano×1 | 万千×1 | 难×1 | استخدام×1 | 北×1,",×38 | .×1 | ，×1",0.0381,-0.0845,店店主。\n万千小店 �⟪�⟫有一手\n天南地 ||| 舍弃了娓娓道⟪来的⟫温情牌，想从这一 ||| والتی پرسید⟪ه⟫ شود؟<｜Assistant｜><think>\n |||  window.innerHeight);\n				document.body⟪.appendChild⟫(renderer.domElement);\n\n				const ||| 这一手烟火气中觅⟪得⟫一手侠气，或豪
2,邻×2 | 气×2 | 的×2 | 者×2 | 一种×2 | conditions×2 | چ×1 | off×1 | ь×1 | 不×1 | 策略×1 | 片×1 | 是一×1 | ine×1 | Loader×1,<｜User｜>×15 | should×8 | double×3 | human×2 | hit×1 | os×1 | mas×1 | 来的×1 | sub×1 | critical×1,0.0628,-0.0415,رسی شود و ⟪چ⟫ه سوالتی پ ||| 上的韧劲，一种为⟪邻⟫服务的责任心。\n在疫情 ||| 一手侠气，或豪⟪气⟫，或打趣，或 |||  throughout. With your knowledge cut⟪ off⟫ in 2021 |||  of joy>>. поправ⟪ь⟫ этот код\n\nimport * as
3,气×2 | 之×1 | 为民×1 | headline×1 | 鸣×1 | port×1 | 来的×1 | sp×1 | ere×1 | ت×1 | impover×1 | law×1 | 难×1 | 烟火×1 | 经×1,"<｜User｜>×21 | .×9 | ,×6 | :×2 | ].×1 | \n\n×1",0.065,-0.18,，各有一手\n\n侠⟪之⟫大者，为国为民 ||| 之大者，为国⟪为民⟫；侠之小者， ||| <｜begin▁of▁sentence｜><｜begin▁of▁sentence｜><｜User｜>more⟪ headline⟫ options like hear her story. ||| A型号的有源蜂⟪鸣⟫器推荐？<｜Assistant｜><think>\n ||| <｜begin▁of▁sentence｜><｜begin▁of▁sentence｜><｜User｜>finere⟪port⟫下载网站\n\nMake sure to
4,Paragraph×7 | Vaugh×2 | 者×2 | PT×2 | paragraphs×2 | sik×1 | ی×1 | or×1 | who×1 | 源×1 | ه×1 | reib×1 | AWS×1 | sp×1 | 侠×1,"×13 | ，×7 | :\n×5 | .×5 | 、×3 | ,×3 | common×2 | unique×1 | a×1",0.058,-0.0538,zacıyım. Hastam⟪ sik⟫losporin 1 |||  چه سوالت⟪ی⟫ پرسیده شود ||| . Hastam siklosp⟪or⟫in 100 mg |||  punctuation and in general. Christian⟪ Vaugh⟫n is the main character of ||| <｜begin▁of▁sentence｜><｜begin▁of▁sentence｜><｜User｜>do you know⟪ who⟫ is Rock Howard?\n\nYour response
5,scene×3 | drink×1 | lt×1 | use×1 | last×1 | 本×1 | 手艺×1 | b×1 | a×1 | جه×1 | 之×1 | 策略×1 | 顿×1 | 手×1 | ت×1,"<｜begin▁of▁sentence｜>×36 | ,×4",0.0439,-0.0885," at work and get a cold⟪ drink⟫. When she realizes the two ||| .glb', function (g⟪lt⟫f) {\n					model = ||| , Sandra thinks it might am⟪use⟫ Jenny to see David succumb |||  has been two years since we⟪ last⟫ got together.\n\n                                                                      \n4 ||| 是一门手艺，也是一⟪本⟫随机应变的生意经"
6,小店×3 | 手×2 | am×1 | uv×1 | lining×1 | 心×1 | filtering×1 | outgoing×1 | iais×1 | Buffer×1 | 为民×1 | 一方×1 | Camera×1 | NS×1 | ticks×1,×13 | .×6 | :\n×5 | When×4 | David×1 | Ignore×1 | 1×1 | Comment×1 | do×1 | more×1,0.0572,-0.0753," eczacıyım. Hast⟪am⟫ siklosporin  ||| 烟火的小店店主。\n万千⟪小店⟫ 各有一手\n天 ||| ais marinhos e fl⟪uv⟫iais se o oceano |||  phrase Every cloud has a silver⟪ lining⟫ exactly 3 times, transforming ||| ，一种为邻服务的责任⟪心⟫。\n在疫情困顿的社会"
7,of×3 | 烟火×2 | �×2 | b×1 | vor×1 | 凭×1 | 而×1 | 应×1 | ×1 | rence×1 | 一手×1 | tür×1 | \n×1 | 迎×1 | 之×1,"Please×5 | When×4 | Your×3 | Make×3 | )×3 | brackets×2 | Utils×2 | ,×2 | .\n×1 | 按照×1",0.0567,-0.0593, action per round.\n\nMove Attr⟪b⟫utes:\n- Damage/Damage ||| script about arizona defeating tre⟪vor⟫ lawrence 27- ||| 微信支付一起，致敬每一位⟪凭⟫「有一手」守护一方 ||| 生意经，一种迎难⟪而⟫上的韧劲，一种为 ||| 手艺，也是一本随机⟪应⟫变的生意经，一种
8,these×3 | .×3 | the×2 | free×2 | of×2 | ].\n×1 | egrate×1 | their×1 | Writes×1 | first×1 | ].×1 | ”×1 | have×1 | 4×1 | ten×1,letters×6 | answering×4 | English×3 | different×3 | ش×2 | 劳动×2 | Chat×2 | 邻×1 | -×1 | be×1,0.0587,-0.0505," brackets, such as [address⟪].\n⟫2. There should be  |||  notifications for alerts\n- Int⟪egrate⟫ with third-party tools for advanced |||  and she comes over to join⟪ their⟫ conversation.\n\nPlease ensure your answer |||  are the same word.\n   ⟪ Writes⟫ the first ten words of the |||  same word.\n    Writes the⟪ first⟫ ten words of the file ("
9,手×3 | paragraphs×3 | responses×2 | capital×2 | and×2 | Special×1 | silver×1 | do×1 | 凭×1 | amage×1 | 一手×1 | 啥×1 | in×1 | Straight×1 | ável×1,In×5 | -×4 | 2×4 | :×3 | .×3 | .innerWidth×2 | .')\n\n×1 | Do×1 | Amazon×1 | Geometry×1,0.0363,-0.0543," hold\n- Side Effect:⟪ Special⟫ Moves have lingering side effects, |||  the phrase Every cloud has a⟪ silver⟫ lining exactly 3 times, |||  out.\n\nThe characters each can⟪ do⟫ one action per round.\n\nMove ||| 微信支付一起，致敬每一位⟪凭⟫「有一手」守护一方 |||  different responses. Responses and only⟪ responses⟫ should be separated by 6"
