# deepseek7b  random_baseline_norm_entropy=0.9594

[singlev_layers0-10_lr1e-1 | L0 | normed | H_norm=0.918 top1=0.001]  Gross |  ( |  gross |  Der |  stand | , |  Cr |   | . |  Gal |  deriv |  Sol | shake | lass |  x
[singlev_layers0-10_lr1e-1 | L1 | normed | H_norm=0.934 top1=0.001]  fair |  core | Eventually |  poly | irm | expanded | ED |  – | lect |  Grand |  Atkins | 丁 | -----------\n |  buzz |  hors
[singlev_layers0-10_lr1e-1 | L2 | normed | H_norm=0.956 top1=0.001]  intents |  fart |  coy |  marshal | irt |  AAC |  coax |  THR |  fortunate |  HOLD | FromFile | ítica | /my |  subs | -plus
[singlev_layers0-10_lr1e-1 | L3 | normed | H_norm=0.955 top1=0.000] piel | Frameworks |  replacement |  Easily |  Floating |  eyes |  offending | 接地 |  normalized | sla | /id |  Revised |  brace | )>> | 跋
[singlev_layers0-10_lr1e-1 | L4 | normed | H_norm=0.958 top1=0.000]  subjective | 面包 |  Conan |  unconditional |  Julius |  indirectly |  ink |  location |  GX | 热门 |  underestimate | -neutral |  underground |  Sche | 是最
[singlev_layers0-10_lr1e-1 | L5 | normed | H_norm=0.945 top1=0.001] ˣ |  genders |  best |  Dit |  cloud | cat |  cat |  practitioner |  dignity |  either |  Inspector | 格 |  closest |  ground |  Ba
[singlev_layers0-10_lr1e-1 | L6 | normed | H_norm=0.950 top1=0.001]  improv | Tester |  mutil | illas |  archetype |  sorts |  impost |  abide |  accus | agne |  perpetual |  monumental | wald | isch | ingly
[singlev_layers0-10_lr1e-1 | L7 | normed | H_norm=0.956 top1=0.001]  negatively |  desn |  Cele | isha | ’: | 说完 | .'"\n\n | imes |  branches |  Yup |  aggressive | CED |  dissip | omatic |  imm
[singlev_layers0-10_lr1e-1 | L8 | normed | H_norm=0.960 top1=0.001]  frag | terr |  Rogers | rtle |  SCN | 有多大 | verbs |  (!( | acia | OPEN |  Trom | scal | .ga | 索 |  }},\n
[singlev_layers0-10_lr1e-1 | L9 | normed | H_norm=0.953 top1=0.001] panse |  separ |  coerc | igned | aci |  McN |  signed |  Keto | 对立 |  Something | signed |  harmony |  Cas | oped |  unb
[singlev_layers0-10_lr1e-1 | L10 | normed | H_norm=0.963 top1=0.000] Broad | cala | kit | \s | 一天 | ivant | elles | adi | BK | 顿 | enheim |  According | 条评论 |  Nuevo |  Reggie
[singlev_layers0-1_lr1e-1 | L0 | normed | H_norm=0.903 top1=0.010]  ( |   |  first |  B | , | … | 1 |  a |  and |  A | B |  or |   | <｜end▁of▁sentence｜> | “
[singlev_layers0-1_lr1e-1 | L1 | normed | H_norm=0.947 top1=0.000]  Ping |  Colon |  isot | fn |  fox | Official |  cast | 有条件 |  rec | anst |  pro |  Adams | ={({ |  worsening | boarding
[singlev_layers10-11_lr1e-1 | L10 | normed | H_norm=0.947 top1=0.001] 虚 |  Contr | contr |  attentive |  advancement | ))))\n\n | istic | 绕 | CV |  Correction |  dick |  assembler | -establish |  contractor |  Conversation
[singlev_layers10-11_lr1e-1 | L11 | normed | H_norm=0.959 top1=0.001]  Dimensions |  (:: |  dimensions |  reorder | 一次 | 自己 | Broad |  recorded | 许 | 玩具 | 顿 | ional |  Guill |  sluggish | aton
[singlev_layers10-20_lr1e-1 | L10 | normed | H_norm=0.955 top1=0.000] ether | 虚 | 重中 | atinum |  progress | akah |  dmg |  remote | orris | 动 |  lighter |  inscription | 第三季度 | -disc | aaaaaaaa
[singlev_layers10-20_lr1e-1 | L11 | normed | H_norm=0.957 top1=0.000] 驴 |  hy | -NLS | oning | inth | cene |  discontinued |  Guill |  endlessly |  Essen | plemented | /Area |  Day |  humming |  Lyrics
[singlev_layers10-20_lr1e-1 | L12 | normed | H_norm=0.960 top1=0.000] 退 | Seen | amp | 好不好 |  Sloven |  turn | lep | 不可 |  Oct | ighb | WS |  unw | 常 |  Claus | elong
[singlev_layers10-20_lr1e-1 | L13 | normed | H_norm=0.960 top1=0.000]  harmless |  Little | icolon |  emot | 牌 | Little |  Rel | 欢 |  typ | aq | 向记者 |  Concat | plementary |  Guil |  narrowly
[singlev_layers10-20_lr1e-1 | L14 | normed | H_norm=0.963 top1=0.000] kur | 载 |  priesthood |  retro |  grat |  resisting | og | ल | atte |  Extreme |  EMS | refix | 为准 | 写着 |  hart
[singlev_layers10-20_lr1e-1 | L15 | normed | H_norm=0.961 top1=0.000]  Nigerian |  earm | arser | 定点 |  hann |  disables | /non | 另 |  starter | _required |  speeding | 速 | sonian |  sulf | eration
[singlev_layers10-20_lr1e-1 | L16 | normed | H_norm=0.960 top1=0.002]  plum |  Equal |  couch |  vex |  TIMES | 订阅 |  downturn |  unc |  CET | 不出 | aque |  slang |  portrayed | -turn |  ADA
[singlev_layers10-20_lr1e-1 | L17 | normed | H_norm=0.960 top1=0.001]  Brow |  pans |  Bringing | ning | Plus | _cancel |  invitation |  Scan | wan | �示 |  obstruction | Mex |  purse |  engage |  phenomenon
[singlev_layers10-20_lr1e-1 | L18 | normed | H_norm=0.960 top1=0.001] ki | 多少钱 | 多余 |  Gather | 凹 |  gather |  Iraqi |  Kiss |  spel |  mét |  Beard | 堪 | 为空 |  spi | 的意思
[singlev_layers10-20_lr1e-1 | L19 | normed | H_norm=0.960 top1=0.000] vas | /array | enaire | Rating |  whatsoever |  Nass | plans | -found | /domain | berries | umni |  navigating | roscope |  invoice | qu
