# qwen3-4b  random_baseline_norm_entropy=0.9498

[singlev_layers0-11_lr1e-3 | L0 | normed | H_norm=0.949 top1=0.001] ython | 祇 | ья |  embed | 椒 |  Cons | peech | 井 | grounds | MH |  Monaco | vale |  Moy |  grading | 卿
[singlev_layers0-11_lr1e-3 | L1 | normed | H_norm=0.952 top1=0.000] 舐 | 椒 | 降到 |  Investigations | 祇 |  overl | pyx | ukes |  humming | Dragging | arding | 量 | 土豪 | peech | ython
[singlev_layers0-11_lr1e-3 | L2 | normed | H_norm=0.951 top1=0.001] 姨 | 伍 | uled |  contingent | 祇 | 椒 | dehy | 送达 | credible |  yielding | ython | эм | -global | Moon | 城乡
[singlev_layers0-11_lr1e-3 | L3 | normed | H_norm=0.952 top1=0.001] -Col | inea | 祇 | UBLE | ocol | 伍 | ysz | apore |  Guill | Prem | _ary | pery | loo | çon |  contingent
[singlev_layers0-11_lr1e-3 | L4 | normed | H_norm=0.951 top1=0.001] mgr |  ViewData | ActionCode |  TPP | UBLE | .um | .edu | 禋 | 奪 | 大多数人 |  UIView | Orig |  Rudd | unner |  deleg
[singlev_layers0-11_lr1e-3 | L5 | normed | H_norm=0.950 top1=0.000] grounds | 览 | 渑 | oron | _periods | 保持 | 要么 | ObjectContext | -sharing |  periods | \FrameworkBundle | ,...\n | abler | -shared | mium
[singlev_layers0-11_lr1e-3 | L6 | normed | H_norm=0.951 top1=0.001] lord |  br |  showc |  lord | 享 | .orig |  inline | mış | punk | liv | inline | oola |  dress | 朵 | ulan
[singlev_layers0-11_lr1e-3 | L7 | normed | H_norm=0.952 top1=0.000]  ApplicationController | .bz | bras | apel | ,))\n | lord | abouts | adult | opard | -sk | .obj | enthal |  paylaş | 比如说 | 人的
[singlev_layers0-11_lr1e-3 | L8 | normed | H_norm=0.951 top1=0.000] encer | oola | /GPL | 伸手 | 但对于 | uelles | 撂 | 盾 | зам | DECL |  lul | ynchronized | زو |  MY |  INCLUDED
[singlev_layers0-11_lr1e-3 | L9 | normed | H_norm=0.950 top1=0.001] oose | 但对于 | 指导意见 | &p | 者的 | &m | 不小 | 共识 |  rendre | adget | 奈 | angelog |  confusion | "$ | 的努力
[singlev_layers0-11_lr1e-3 | L10 | normed | H_norm=0.950 top1=0.000] 的地 | 副 | lug | (mi |  hứng | 偃 |  Mi | 雷斯 | 指导 | oice | 打开了 | 指导下 | 和个人 | 者的 | 也许是
[singlev_layers0-11_lr1e-3 | L11 | normed | H_norm=0.949 top1=0.001] 雷斯 |  outlined | izona | mor |  declines | rent | SK | ston | 大部分 |  laps | ruz | 看了 | %H | lus | &page
[singlev_layers0-1_lr1e-3 | L0 | normed | H_norm=0.949 top1=0.001]  gente | 转载请 | gings | olist | holder | nd | Ware | 舐 | oley | 仪 |  PyObject | ney | 沃尔 | วร |  Yield
[singlev_layers0-1_lr1e-3 | L1 | normed | H_norm=0.951 top1=0.001]  gente |  PyObject | lord | oping | 不下 | aran | ulle | .readyState | htar | 仪 |  Hugo | 搞得 | _ary | blade | 利物
[singlev_layers10-11_lr1e-3 | L10 | normed | H_norm=0.951 top1=0.001] 已经在 | /topics | otron | 同一个 |  Mitt | 同样的 |  Tune |  freshly | ToInt | 的结果 |  theirs | úb | 囷 | 色 | 深加工
[singlev_layers10-11_lr1e-3 | L11 | normed | H_norm=0.950 top1=0.000] 搞得 | 各行 |  Miner | /ext | 同一个 | -conf | xeb |  stesso | сор | 烂 | escort | 看了看 | 发作 | enstein |  phé
[singlev_layers10-25_lr5e-5 | L10 | normed | H_norm=0.949 top1=0.001] izontal | ToString | otron | ัด | 副 | 力还是 | entially | 薄 |  *,\n | ToStr | Computed |  tors |  ()-> | adapter | 煊
